title,written_time,author,author_num,price,length,img,attend_num,deliver,talk,spam
에어팟 프로 미개봉 (애플코리 정품),2021.05.27,아사이카시아,1,200000,132,3,314,0,1,1
대구 직거래) 미개봉 에어팟 프로 23만원 판매합니다.,2021.05.27,asdfw4,21,230000,81,1,979,1,1,0
에어팟 프로 미개봉,2021.05.27,쌈자,23,230000,54,1,752,0,1,0
에어팟프로 미개봉 직거래 삽니다,2021.05.27,오크놀,3,220000,79,1,"3,969",1,1,2
에어팟프로 미개봉상품 팝니다(제조년월 2021.03),2021.05.27,황소우렁이,1,225000,27,2,25,0,1,1
에어팟프로 미개봉팝니다.,2021.05.27,alrkckatnc,152,210000,28,3,"3,381",1,1,0
애플 에어팟프로 미개봉 새제품 판매합니다.,2021.05.27,asdq1121,87,230000,77,1,"4,925",1,1,0
대구 직거래) 미개봉 에어팟 프로 23만원 판매합니다.,2021.05.27,asdfw4,21,230000,106,1,979,1,1,0
애플워치 SE 실버 나이키 에디션 미개봉 GPS,2021.05.27,-1,-1,349000,-1,-1,-1,-1,-1,2
에어팟프로 미개봉제품 판매합니다.,2021.05.27,woalsh,2,220000,95,4,640,1,1,0
애플워치 SE 미개봉 [실버/스그] GPS,2021.05.27,-1,-1,340000,-1,-1,-1,-1,-1,2
에어팟 프로 미개봉 새제품 판매합니다 대구 직거래,2021.05.27,카이다린,39,225000,41,1,835,0,1,0
(미개봉) 에어팟프로 판매합니다.,2021.05.27,니케는승리2,61,225000,64,1,747,1,1,0
에어팟프로 미개봉 새제품 판매합니다,2021.05.27,2448chj,17,220000,43,1,"1,546",0,1,1
에어팟 프로 미개봉 (부산),2021.05.26.,bluedragon13,44,230000,56,1,"1,240",1,1,0
에어팟2세대 무선 미개봉 판매합니다,2021.05.26.,-1,-1,125000,-1,-1,-1,-1,-1,2
에어팟2세대 무선 미개봉판매합니다,2021.05.26.,-1,-1,125000,-1,-1,-1,-1,-1,2
에어팟프로,2021.05.26.,찰스횽아,19,240000,27,2,777,0,1,0
애플 에어팟프로 미개봉 새제품 판매합니다.,2021.05.26.,asdq1121,87,230000,77,1,"4,925",1,1,0
에어팟 프로 [미개봉 새제품],2021.05.26.,아사리비야콜롬비야,5,220000,87,2,91,1,1,0
에어팟프로 철가루 방지 스티커,2021.05.26.,-1,-1,8000,-1,-1,-1,-1,-1,2
에어팟 프로 미개봉 팝니다,2021.05.26.,-1,-1,2222,-1,-1,-1,-1,-1,2
(부산) 에어팟프로 미개봉 새제품입니다,2021.05.26.,칩포테토우,87,230000,66,1,487,1,1,0
미개봉) 애플 에어팟 프로 새상품 판매합니다.,2021.05.26.,돌밭길3,44,230000,102,1,241,1,1,0
에어팟프로 미개봉 판매합니다,2021.05.26.,lui1,1,130000,70,1,333,1,1,1
에어팟프로 미개봉팝니다!,2021.05.26.,놀러갑시당,39,225000,28,2,"2,145",0,1,0
(부산) 에어팟프로 미개봉 새제품입니다,2021.05.25.,칩포테토우,87,230000,66,1,487,1,1,0
[부산]에어팟프로 미개봉새상품(21년3월제조),2021.05.25.,tnekf1976,115,220000,45,3,"4,026",1,1,0
에어팟 프로 미개봉 팝니다.,2021.05.25.,에드,5,230000,48,1,484,0,1,0
국내 정품 에어팟 프로 미개봉 팔아요~,2021.05.25.,레이,117,230000,156,1,"1,875",1,1,0
에어팟 프로 미개봉 판매 (21년 3월),2021.05.25.,올것이왔다,150,220000,66,1,"2,851",1,1,0
대구 직거래) 미개봉 에어팟 프로 23만원 판매합니다.,2021.05.25.,asdfw4,21,230000,91,1,979,1,1,0
(미개봉)에어팟프로22만_21년 2월 생산_서울 용산직거래,2021.05.25.,백단심1,33,220000,79,0,200,1,1,0
부산 에어팟프로 미개봉 새상품 팝니다,2021.05.25.,STT11,93,220000,40,1,"3,184",1,1,0
에어팟프로 미개봉 (안전결재건),2021.05.25.,2017중고,48,205000,21,1,210,0,1,0
에어팟프로 미개봉팝니다,2021.05.25.,2017중고,48,205000,58,2,210,1,1,0
에어팟프로 미개봉,2021.05.25.,jasonno9,62,210000,65,1,571,1,1,0
에어팟 프로 미개봉 팝니다.,2021.05.25.,픽사마,63,220000,79,2,"3,325",1,1,0
에어팟프로 미개봉 팝니다,2021.05.25.,팝니다7878,16,220000,53,3,413,1,1,1
에어팟 프로 미개봉 새제품 21만원 (직거래 택배가능),2021.05.25.,rlarkfka6660,47,210000,54,2,572,0,1,0
(미개봉) 에어팟프로 판매합니다.,2021.05.25.,니케는승리2,61,225000,73,1,747,1,1,0
에어팟프로 미개봉,2021.05.24.,유우우dn,1,170000,40,1,196,0,1,1
인천.에어팟프로 미개봉 새상품.20만.,2021.05.24.,그리피시즈,119,200000,72,1,374,1,1,0
에어팟프로 미개봉 팝니다,2021.05.24.,팝니다7878,16,220000,53,3,413,1,1,1
에어팟 프로 미개봉 새제품 21만원 (직거래 택배가능),2021.05.24.,rlarkfka6660,47,210000,54,2,572,0,1,0
미개봉) 애플 에어팟 프로 새상품 판매합니다.,2021.05.24.,돌밭길3,44,230000,102,1,241,1,1,0
애플 에어팟프로 미개봉 새제품 판매,2021.05.24.,publicservant,420,220000,111,8,951,1,1,0
에어팟 프로 미개봉 21년 3월 제조품 판매합니다,2021.05.24.,꼬마파붕이,11,230000,42,1,72,1,1,0
애플 에어팟프로 미개봉 새제품 판매,2021.05.23.,publicservant,420,220000,111,8,951,1,1,0
애플워치 SE 미개봉 [실버/스그] GPS,2021.05.23.,-1,-1,340000,-1,-1,-1,-1,-1,0
에어팟프로 미개봉 애플커리아정품 팔아요,2021.05.23.,날려버려5959,8,200000,60,2,14,1,1,1
인천.에어팟프로 미개봉 새상품.20만.,2021.05.23.,그리피시즈,119,200000,72,1,374,1,1,0
에어팟프로 미개봉 팝니다,2021.05.23.,물개둥2,15,200000,51,4,366,1,1,1
에어팟 프로 미개봉 팝니다,2021.05.23.,저스락비버,77,220000,41,1,"4,458",1,1,0
에어팟2세대 케이스 (새상품),2021.05.23.,-1,-1,2000,-1,-1,-1,-1,-1,2
에어팟 프로(MWP22KH/A)미개봉 새상품 판매합니다.(22만),2021.05.23.,폭서당,20,220000,243,2,"3,723",1,1,0
에어팟 프로 미개봉 정품 판매합니다,2021.05.23.,-1,-1,2000,-1,-1,-1,-1,-1,0
에어팟프로 미개봉,2021.05.22.,플레이어팁,3,190000,63,1,123,1,1,0
에어팟프로 미개봉 팝니다,2021.05.22.,-1,-1,2000,-1,-1,-1,-1,-1,0
에어팟 프로 미개봉 새제품 21년 1월 제조,2021.05.22.,Kiddo777,51,219000,139,4,213,1,1,0
에어팟프로 새상품,2021.05.22.,노을ll,272,250000,54,4,426,0,1,0
인천.에어팟프로 미개봉 새상품.20만.,2021.05.22.,그리피시즈,119,200000,72,1,374,1,1,0
미개봉) 애플 에어팟 프로 새상품 판매합니다.,2021.05.22.,돌밭길3,44,230000,102,1,241,1,1,0
미개봉) 애플 에어팟 프로 새상품 판매합니다.,2021.05.22.,돌밭길3,44,230000,102,1,241,1,1,0
에어팟 프로 미개봉 새상품,2021.05.22.,김김김짱구,40,220000,201,5,"1,279",1,1,0
에어팟프로 미개봉 신품,2021.05.22.,아일랜드33,"7,371",210000,44,3,"6,806",0,1,0
애플 에어팟프로 미개봉 새제품 판매,2021.05.22.,publicservant,420,220000,111,8,951,1,1,0
에어팟 프로 미개봉 신품,2021.05.21.,-1,-1,2000,-1,-1,-1,-1,-1,0
에어팟프로 미개봉 팝니다,2021.05.21.,팝니다7878,16,220000,53,3,413,1,1,1
급] 에어팟 프로 미개봉 저렴하게 급처합니다,2021.05.21.,컵자몽,44,200000,87,3,158,1,1,0
애플 에어팟프로 미개봉 새제품 판매,2021.05.21.,publicservant,420,220000,111,8,951,1,1,0
미개봉) 애플 에어팟 프로 새상품 판매합니다.,2021.05.21.,돌밭길3,44,230000,102,1,241,1,1,0
미개봉) 애플 에어팟 프로 새상품 판매합니다.,2021.05.21.,돌밭길3,44,230000,102,1,241,1,1,0
에어팟 프로 미개봉 새제품 판매합니다 대구 직거래,2021.05.20.,카이다린,39,225000,41,1,835,0,1,0
에어팟 프로 미개봉 팝니다.[용품추가].청주,2021.05.20.,구리빛남,199,230000,560,3,"1,434",1,1,0
애플 에어팟프로 미개봉 판매,2021.05.20.,publicservant,420,220000,116,8,951,1,1,0
에어팟프로 21년 3월 미개봉 새제품 19판매,2021.05.19.,네드베드112,2,190000,76,2,143,1,1,1
에어팟 프로 미개봉 팝니다.[용품추가].청주,2021.05.19.,구리빛남,199,230000,560,3,"1,434",1,1,0
스튜핏 에어팟프로 가죽케이스 판매,2021.05.19.,-1,-1,13000,-1,-1,-1,-1,-1,2
에어팟 프로 미개봉 팝니다.,2021.05.19.,단풍나무,52,230000,21,1,433,0,1,0
레이저 에어팟 프로 케이스(쿼츠) 미개봉 판매 네고 가능,2021.05.18.,-1,-1,15000,-1,-1,-1,-1,-1,0
에어팟 프로,2021.05.18.,oObyeOo,2,225000,35,3,18,0,1,0
에어팟프로st (악세서리호환가능) 흰색 블루투스 이어폰 미개봉 새제품,2021.05.18.,-1,-1,17500,-1,-1,-1,-1,-1,2
에어팟 프로 판매합니다,2021.05.18.,rkdgns,74,240000,57,3,790,0,1,0
에어팟 프로 미개봉 팝니다.,2021.05.18.,단풍나무,52,230000,22,1,433,0,1,0
에어팟 프로 미개봉 팝니다.[용품추가].청주,2021.05.17.,구리빛남,199,230000,560,3,"1,434",1,1,0
에어팟프로 미사용제품,2021.05.17.,쿨거좋아하는사람,4,200000,149,1,6,1,0,1
미개봉 에어팟 프로 판매합니다,2021.05.17.,으나95,20,250000,0,2,621,0,1,1
에어팟프로 미개봉,2021.05.17.,90boss,997,225000,24,1,401,1,1,0
애플코리아 정식 에어팟프로 미개봉 판매 (5개~10개)묵음판매 개당 22만,2021.05.17.,-1,-1,1100000,-1,-1,-1,-1,-1,0
삽니다!!! 에어팟 프로 미개봉 (내용 ㅇ),2021.05.17.,AnHyoMin,76,180000,74,1,"2,062",1,1,2
에어팟프로 미개봉 24만,2021.05.17.,세상의 기원,28,235000,44,1,"1,668",0,1,0
에어팟프로 케이스 네이버프렌즈(브라운) 미개봉 팝니다,2021.05.17.,-1,-1,10000,-1,-1,-1,-1,-1,2
갤럭시버즈프로 실버 미개봉으로 에어팟프로미개봉교환함,2021.05.16.,쿨쿨걸,954,190000,8,1,"2,276",1,1,2
에어팟 프로 미개봉 판매합니다,2021.05.16.,으리이야,60,215000,92,1,988,1,1,0
에어팟 프로 미개봉 팝니다.[용품추가].청주,2021.05.15.,구리빛남,199,230000,560,3,"1,434",1,1,0
에어팟 프로 미개봉 판매합니다,2021.05.15.,으리이야,60,215000,92,1,988,1,1,0
에어팟프로 새상품,2021.05.15.,노을ll,272,250000,54,4,426,0,1,0
에어팟프로 미개봉,2021.05.15.,으리이야,60,225000,90,1,988,1,1,0
에어팟프로 미개봉,2021.05.15.,90boss,997,225000,24,1,401,1,1,0
에어팟2 미개봉 11  에어팟프로 17사요 서울,2021.05.15.,-1,-1,110000,-1,-1,-1,-1,-1,2
라인프렌즈 브라운 에어팟프로 케이스 새제품,2021.05.14.,-1,-1,10000,-1,-1,-1,-1,-1,0
케이스티파이 에어팟 프로 Duty Free 케이스 (미개봉 새제품),2021.05.14.,-1,-1,30000,-1,-1,-1,-1,-1,0
에어팟프로 미개봉,2021.05.14.,90boss,997,225000,24,1,401,1,1,0
에어팟프로 미개봉 2021년,2021.05.14.,ttl2g84,17,200000,0,2,98,0,1,0
에어팟프로 삽니다,2021.05.13.,승승형제아빠,21,200000,42,1,887,0,1,0
애플코리아 정식 에어팟프로 미개봉 판매 (5개~10개)묵음판매 개당 22만,2021.05.13.,-1,-1,1100000,-1,-1,-1,-1,-1,0
에어팟프로 미개봉,2021.05.12.,ttl2g84,17,200000,0,2,98,0,1,0
애플코리아 정식 에어팟프로 미개봉 판매 (5개~10개)묵음판매 개당 22만,2021.05.12.,-1,-1,1100000,-1,-1,-1,-1,-1,0
(미개봉) 에어팟 프로 새제품 팝니다 199000원 (서울부천),2021.05.11.,얼음어영부영,50,199000,126,5,"4,099",1,1,1
[미개봉] 에어팟 프로 2021년 3월 제조 팝니다 (판매완료),2021.05.11.,-1,-1,2000,-1,-1,-1,-1,-1,2
에어팟프로 판매,2021.05.11.,pksgwo123,89,200000,38,1,704,1,1,0
(미개봉) 에어팟 프로 새제품 팝니다 199000원 (서울부천),2021.05.11.,얼음어영부영,50,199000,126,5,"4,099",1,1,1
에어팟프로 미개봉 21년제조,2021.05.11.,후엔라브라다,153,215000,84,2,278,0,1,0
에어팟 프로 미개봉 2021년제조 구매원합니다.,2021.05.10.,kkll5490,104,200000,48,1,"2,265",1,1,2
에어팟프로 미개봉 21년제조,2021.05.10.,후엔라브라다,153,215000,84,2,278,0,1,0
에어팟프로 미개봉 24만,2021.05.10.,세상의 기원,28,235000,44,1,"1,668",0,1,0
정품 아이폰 이어폰 어댑터 케이블,2021.05.10.,-1,-1,14000,-1,-1,-1,-1,-1,0
갤럭시버즈프로 실버 미개봉으로 에어팟프로미개봉교환함,2021.05.10.,쿨쿨걸,954,190000,8,1,"2,276",1,1,0
정품 아이폰 주변기기,2021.05.10.,-1,-1,14000,-1,-1,-1,-1,-1,0
에어팟 프로 미개봉 (제조년도 2021년) 구매합니다. (20만원),2021.05.10.,앙동원참치,1,200000,18,1,37,0,1,1
에어팟프로 미개봉 판매,2021.05.09.,호두,13,230000,158,1,206,1,1,0
에어팟프로 미개봉,2021.05.09.,-1,-1,11111,-1,-1,-1,-1,-1,0
[미개봉] 서울직거래 에어팟프로 구매합니다,2021.05.09.,jgbg73,3,220000,43,1,"2,000",1,1,0
에어팟 프로 미개봉 개꿀매 절충 가능,2021.05.09.,두번파먹은사과,8,210000,203,6,15,0,1,1
미개봉) 에어팟 프로 정품 20,2021.05.09.,JIJI2020,6,200000,63,1,315,1,1,0
에어팟 프로 미개봉 팝니다,2021.05.08.,luckiest0429,14,205000,39,2,"2,872",1,1,0
에어팟프로 비닐제거도 안한 미개봉 새제품판매,2021.05.08.,xotn900,17,210000,190,1,192,1,1,0
에어팟프로 미개봉 21년 제조 팝니다.,2021.05.08.,선무당,15,220000,78,3,469,1,1,0
에어팟 프로 미개봉 팝니다. 케이스 증정,2021.05.08.,와니,12,235000,67,2,"1,371",1,1,0
(부산) 에어팟프로 미개봉 새제품입니다,2021.05.08.,칩포테토우,87,225000,74,1,488,1,1,0
에어팟프로미개봉삽니다,2021.05.08.,좋은중고찾아삼만리,16,200000,27,1,537,1,1,0
에어팟 프로 미개봉 개꿀매 절충 가능,2021.05.07.,두번파먹은사과,8,210000,203,6,15,0,1,1
(부산) 에어팟프로 미개봉 새제품입니다,2021.05.07.,칩포테토우,87,225000,75,1,488,1,1,0
에어팟프로 미개봉 새상품 판매합니다,2021.05.07.,Ghost2391,120,230000,122,1,980,1,1,0
미개봉새제품 정품 에어팟프로 23만원에 판매합니다(택배비포함택배거래만 가능해요),2021.05.07.,eg343,11,230000,119,3,61,0,1,1
