author_num,price,length,img,attend_num,deliver,talk,spam
1,200000,132,3,314,0,1,1
21,230000,81,1,979,1,1,0
23,230000,54,1,752,0,1,0
1,225000,27,2,25,0,1,1
152,210000,28,3,3381,1,1,0
87,230000,77,1,4925,1,1,0
21,230000,106,1,979,1,1,0
2,220000,95,4,640,1,1,0
39,225000,41,1,835,0,1,0
61,225000,64,1,747,1,1,0
17,220000,43,1,1546,0,1,1
44,230000,56,1,1240,1,1,0
19,240000,27,2,777,0,1,0
5,220000,87,2,91,1,1,0
87,230000,66,1,487,1,1,0
44,230000,102,1,241,1,1,0
1,130000,70,1,333,1,1,1
39,225000,28,2,2145,0,1,0
115,220000,45,3,4026,1,1,0
5,230000,48,1,484,0,1,0
117,230000,156,1,1875,1,1,0
150,220000,66,1,2851,1,1,0
21,230000,91,1,979,1,1,0
33,220000,79,0,200,1,1,0
93,220000,40,1,3184,1,1,0
48,205000,21,1,210,0,1,0
48,205000,58,2,210,1,1,0
62,210000,65,1,571,1,1,0
63,220000,79,2,3325,1,1,0
16,220000,53,3,413,1,1,1
47,210000,54,2,572,0,1,0
61,225000,73,1,747,1,1,0
1,170000,40,1,196,0,1,1
119,200000,72,1,374,1,1,0
420,220000,111,8,951,1,1,0
11,230000,42,1,72,1,1,0
8,200000,60,2,14,1,1,1
15,200000,51,4,366,1,1,1
77,220000,41,1,4458,1,1,0
20,220000,243,2,3723,1,1,0
3,190000,63,1,123,1,1,0
51,219000,139,4,213,1,1,0
272,250000,54,4,426,0,1,0
40,220000,201,5,1279,1,1,0
7371,210000,44,3,6806,0,1,0
44,200000,87,3,158,1,1,0
199,230000,560,3,1434,1,1,0
420,220000,116,8,951,1,1,0
2,190000,76,2,143,1,1,1
52,230000,21,1,433,0,1,0
2,225000,35,3,18,0,1,0
74,240000,57,3,790,0,1,0
52,230000,22,1,433,0,1,0
4,200000,149,1,6,1,0,1
20,250000,0,2,621,0,1,1
997,225000,24,1,401,1,1,0
28,235000,44,1,1668,0,1,0
60,215000,92,1,988,1,1,0
60,225000,90,1,988,1,1,0
17,200000,0,2,98,0,1,0
17,200000,0,2,98,0,1,0
50,199000,126,5,4099,1,1,1
89,200000,38,1,704,1,1,0
153,215000,84,2,278,0,1,0
13,230000,158,1,206,1,1,0
8,210000,203,6,15,0,1,1
6,200000,63,1,315,1,1,0
14,205000,39,2,2872,1,1,0
17,210000,190,1,192,1,1,0
15,220000,78,3,469,1,1,0
87,225000,74,1,488,1,1,0
87,225000,75,1,488,1,1,0
120,230000,122,1,980,1,1,0
11,230000,119,3,61,0,1,1
10,230000,45,2,627,0,1,0
764,220000,86,1,4003,1,1,0
50,200000,69,2,1150,1,1,0
56,230000,58,1,7323,1,1,0
9,225000,194,4,1869,1,1,0
36,225000,135,2,230,1,1,0
42,235000,169,1,3406,0,1,0
141,220000,35,1,2314,0,1,0
101,230000,33,1,469,0,1,0
33,200000,31,1,777,0,1,0
51,230000,148,4,748,1,1,0
768,200000,17,1,1895,0,1,0
4,250000,32,2,743,0,1,0
5,220000,137,2,264,1,1,0
40,230000,104,3,56,1,1,0
6,230000,37,3,280,1,1,0
2,230000,78,2,640,1,1,0
764,210000,39,1,4003,0,1,0
22,230000,36,1,1954,1,1,0
22,220000,22,1,1153,1,1,0
13,220000,24,3,166,0,1,0
4,210000,0,4,560,0,1,0
175,235000,0,0,569,0,1,0
68,235000,255,3,3119,1,1,0
71,220000,28,1,2174,0,1,0
71,195000,0,1,2023,0,1,1
46,200000,137,1,708,1,1,0
234,220000,136,1,1114,1,1,0
147,220000,281,1,2234,1,1,0
37,230000,44,3,2348,1,1,0
3,230000,126,5,1412,1,0,1
54,225000,65,1,2252,1,1,0
347,220000,61,1,2249,1,1,0
3,170000,30,1,56,0,1,1
68,235000,255,3,3119,1,1,0
41,230000,55,2,1490,1,1,0
36,230000,237,2,230,1,1,0
2,230000,152,1,100,1,1,0
1,220000,175,3,9,1,1,0
128,210000,99,3,5749,1,1,0
36,230000,144,1,2286,0,1,0
384,225000,401,3,5329,1,1,0
2,190000,185,3,3,1,1,1
60,200000,176,2,881,1,1,0
384,230000,211,3,5329,1,1,0
37,230000,160,3,2420,0,1,0
110,220000,361,4,2005,1,1,0
176,199000,108,1,3107,0,1,1
91,219000,199,2,3654,1,1,0
1163,240000,166,1,4761,1,1,0
22,250000,131,1,3629,0,1,0
2721,225000,430,1,1568,1,1,0
2721,230000,390,1,1568,1,1,0
